epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5992,0.89569,2.77783,1.69731,1.27109,0.49861,0.49459,0.47322,0.28238,0.32517,0.30461,0.30538,0.17778,1.29452,3.17438,1.79546,1.77497,0.000551359,0.000551359,0.000551359
2,81.8895,0.88795,2.16758,1.17797,1.24159,0.63572,0.63848,0.66398,0.35352,0.33495,0.36186,0.30441,0.15582,1.32702,3.44439,1.70978,1.84192,0.00109607,0.00109607,0.00109607
3,121.495,0.89328,2.1495,1.10071,1.24736,0.62764,0.62873,0.65482,0.37072,0.3529,0.35503,0.30243,0.16888,1.34561,3.0286,1.61182,1.86463,0.00162977,0.00162977,0.00162977
4,160.756,0.87763,2.0724,1.01371,1.24151,0.73602,0.69923,0.76238,0.47866,0.38989,0.36844,0.37773,0.23237,1.18979,2.1494,1.30574,1.70095,0.00161749,0.00161749,0.00161749
5,199.541,0.83123,2.0188,0.93821,1.21021,0.76308,0.75729,0.81859,0.54092,0.46035,0.43418,0.42464,0.27675,1.04856,2.13716,1.11469,1.56624,0.00160099,0.00160099,0.00160099
6,238.742,0.79524,2.0106,0.88147,1.19131,0.73638,0.70309,0.76173,0.49084,0.42196,0.41293,0.39888,0.27137,1.0834,2.20067,1.18936,1.55594,0.00158448,0.00158448,0.00158448
7,279.249,0.7768,1.91552,0.8374,1.177,0.76213,0.77389,0.84372,0.58346,0.42133,0.37868,0.41069,0.28662,0.97985,2.1486,1.0737,1.48112,0.00156798,0.00156798,0.00156798
8,318.525,0.74912,1.90145,0.79502,1.14978,0.80538,0.81256,0.87167,0.63501,0.47544,0.45464,0.44485,0.32255,0.95275,1.74709,0.94153,1.46739,0.00155148,0.00155148,0.00155148
9,357.497,0.74002,1.82969,0.78279,1.14944,0.84389,0.79996,0.88847,0.63847,0.49984,0.47298,0.45995,0.32761,0.91214,1.94983,0.8683,1.39176,0.00153497,0.00153497,0.00153497
10,396.373,0.72965,1.79009,0.75004,1.1481,0.7908,0.82258,0.8628,0.648,0.50393,0.47938,0.4622,0.3348,0.87977,1.72578,0.87115,1.36867,0.00151847,0.00151847,0.00151847
11,435.262,0.70951,1.79482,0.73317,1.13062,0.8383,0.83314,0.90378,0.68939,0.52222,0.49477,0.47605,0.348,0.86815,1.70456,0.80054,1.36411,0.00150197,0.00150197,0.00150197
12,474.257,0.69488,1.77599,0.72111,1.11775,0.85458,0.80613,0.87523,0.66764,0.51759,0.52105,0.45692,0.32878,0.88903,1.68002,0.86366,1.37893,0.00148546,0.00148546,0.00148546
13,513.05,0.68413,1.75134,0.68475,1.11619,0.81216,0.81194,0.87707,0.65862,0.56001,0.53621,0.4883,0.34155,0.86184,1.69234,0.82588,1.34314,0.00146896,0.00146896,0.00146896
14,551.724,0.67256,1.72826,0.67776,1.10123,0.84729,0.82786,0.90881,0.68802,0.56002,0.51698,0.48881,0.35332,0.84514,1.74467,0.81505,1.31997,0.00145246,0.00145246,0.00145246
15,590.583,0.67023,1.69927,0.66461,1.0995,0.85247,0.81422,0.898,0.69086,0.51992,0.50121,0.46165,0.33991,0.81458,1.64945,0.81546,1.29927,0.00143595,0.00143595,0.00143595
16,629.831,0.65718,1.69556,0.65343,1.09886,0.86624,0.84471,0.90946,0.71071,0.58003,0.55138,0.50441,0.3622,0.8332,1.68928,0.71111,1.33375,0.00141945,0.00141945,0.00141945
17,668.538,0.65503,1.69534,0.64308,1.09264,0.89577,0.85834,0.92776,0.73667,0.5338,0.53121,0.48357,0.35938,0.79232,1.58514,0.7175,1.26455,0.00140295,0.00140295,0.00140295
18,707.48,0.64669,1.6159,0.62412,1.0786,0.86356,0.85645,0.91674,0.7255,0.53899,0.532,0.48261,0.35548,0.80636,1.66639,0.69969,1.30246,0.00138644,0.00138644,0.00138644
19,746.381,0.64135,1.63922,0.61627,1.08533,0.79748,0.83317,0.88824,0.67999,0.5315,0.50717,0.47765,0.34806,0.82082,1.69676,0.76786,1.29825,0.00136994,0.00136994,0.00136994
20,785.397,0.619,1.59536,0.60466,1.06387,0.85655,0.85022,0.91587,0.73195,0.52623,0.51689,0.47793,0.356,0.77846,1.61405,0.74173,1.27906,0.00135344,0.00135344,0.00135344
21,824.999,0.64006,1.63477,0.62107,1.08518,0.88634,0.85385,0.92731,0.73591,0.57886,0.5425,0.50734,0.37401,0.77031,1.46351,0.71107,1.23701,0.00133693,0.00133693,0.00133693
22,863.851,0.60904,1.60598,0.58557,1.0613,0.86711,0.83315,0.90441,0.71307,0.54265,0.50876,0.47883,0.36255,0.79441,1.63174,0.73022,1.27922,0.00132043,0.00132043,0.00132043
23,902.686,0.62332,1.64745,0.6064,1.07281,0.81445,0.87621,0.91187,0.70573,0.55544,0.50434,0.47988,0.35099,0.79156,1.56107,0.71718,1.28037,0.00130393,0.00130393,0.00130393
24,941.436,0.60767,1.59114,0.58024,1.05845,0.84452,0.80707,0.88965,0.69148,0.54462,0.53159,0.49199,0.36454,0.79318,1.59441,0.72885,1.28296,0.00128742,0.00128742,0.00128742
25,980.263,0.6039,1.55915,0.57576,1.05999,0.88612,0.85313,0.92242,0.73632,0.58305,0.56295,0.50592,0.37382,0.74521,1.55591,0.70597,1.2427,0.00127092,0.00127092,0.00127092
26,1019.06,0.60929,1.56538,0.57974,1.06111,0.9077,0.85369,0.93483,0.74899,0.5914,0.5458,0.50173,0.36928,0.76843,1.53838,0.66181,1.26362,0.00125442,0.00125442,0.00125442
27,1058.07,0.60971,1.55038,0.56825,1.05677,0.90374,0.82988,0.92799,0.74436,0.62148,0.51019,0.52176,0.3802,0.77246,1.52556,0.68992,1.25675,0.00123791,0.00123791,0.00123791
28,1096.97,0.58459,1.49283,0.54859,1.04429,0.88397,0.89816,0.92446,0.73679,0.54516,0.53175,0.48142,0.36767,0.75676,1.48235,0.6306,1.26795,0.00122141,0.00122141,0.00122141
29,1135.85,0.59507,1.5457,0.55849,1.0505,0.92095,0.88452,0.94182,0.75542,0.61042,0.58129,0.53246,0.40273,0.73826,1.38395,0.62633,1.22718,0.00120491,0.00120491,0.00120491
30,1174.51,0.5899,1.51754,0.55517,1.05262,0.89681,0.8284,0.9184,0.73869,0.61671,0.56297,0.51412,0.37065,0.72241,1.63425,0.69933,1.21906,0.0011884,0.0011884,0.0011884
31,1213.34,0.58297,1.5021,0.5452,1.04518,0.85283,0.90449,0.93274,0.77274,0.51604,0.55204,0.48891,0.38232,0.68978,1.50698,0.63412,1.19006,0.0011719,0.0011719,0.0011719
32,1252.23,0.57558,1.51817,0.53158,1.03758,0.89234,0.87351,0.93494,0.75776,0.61717,0.58203,0.51767,0.3818,0.73268,1.47638,0.65906,1.22072,0.0011554,0.0011554,0.0011554
33,1291.03,0.56204,1.48141,0.53173,1.02917,0.85907,0.8606,0.91959,0.7614,0.63782,0.55542,0.52275,0.39186,0.72224,1.4137,0.65462,1.20596,0.00113889,0.00113889,0.00113889
34,1329.82,0.57339,1.45965,0.52295,1.03203,0.89757,0.87792,0.9385,0.77716,0.59286,0.57558,0.51193,0.38585,0.68258,1.40063,0.65471,1.17499,0.00112239,0.00112239,0.00112239
35,1368.73,0.56174,1.52942,0.52815,1.03378,0.8754,0.87833,0.93316,0.77511,0.62455,0.56294,0.53874,0.39294,0.6784,1.43799,0.61164,1.16641,0.00110589,0.00110589,0.00110589
36,1407.46,0.56368,1.4686,0.51734,1.03012,0.87133,0.86816,0.93047,0.76614,0.66051,0.56364,0.54206,0.39956,0.69732,1.46822,0.6064,1.18155,0.00108938,0.00108938,0.00108938
